3,231,IBAN-HAHA,USD,2.34
4,231,IBAN-HAHA,USD,2.34
5,231,IBAN-HAHA,USD,2.34
6,91,UGABUGA,PLN,8.34
7,-49,IBAN-HAHA,USD,14.34
8,-189,UGABUGA,PLN,20.34
9,-329,IBAN-HAHA,USD,26.34
10,-469,UGABUGA,PLN,32.34
11,-609,IBAN-HAHA,USD,38.34
12,-749,UGABUGA,PLN,44.34
13,-889,IBAN-HAHA,USD,50.34
14,-1029,UGABUGA,PLN,56.34
15,-1169,IBAN-HAHA,USD,62.34
16,-1309,UGABUGA,PLN,68.34
17,-1449,IBAN-HAHA,USD,74.34
18,-1589,UGABUGA,PLN,80.34
19,-1729,IBAN-HAHA,USD,86.34
20,-1869,UGABUGA,PLN,92.34
21,-2009,IBAN-HAHA,USD,98.34
22,-2149,UGABUGA,PLN,104.34
23,-2289,IBAN-HAHA,USD,110.34
24,-2429,UGABUGA,PLN,116.34
25,-2569,IBAN-HAHA,USD,122.34
26,-2709,UGABUGA,PLN,128.34
27,-2849,IBAN-HAHA,USD,134.34
28,-2989,UGABUGA,PLN,140.34
29,-3129,IBAN-HAHA,USD,146.34
30,-3269,UGABUGA,PLN,152.34
31,-3409,IBAN-HAHA,USD,158.34
32,-3549,UGABUGA,PLN,164.34
33,-3689,IBAN-HAHA,USD,170.34
34,-3829,UGABUGA,PLN,176.34
35,-3969,IBAN-HAHA,USD,182.34
36,-4109,UGABUGA,PLN,188.34
37,-4249,IBAN-HAHA,USD,194.34
38,-4389,UGABUGA,PLN,200.34
39,-4529,IBAN-HAHA,USD,206.34
40,-4669,UGABUGA,PLN,212.34
41,-4809,IBAN-HAHA,USD,218.34
42,-4949,UGABUGA,PLN,224.34
43,-5089,IBAN-HAHA,USD,230.34
44,-5229,UGABUGA,PLN,236.34
45,-5369,IBAN-HAHA,USD,242.34
46,-5509,UGABUGA,PLN,248.34
47,-5649,IBAN-HAHA,USD,254.34
48,-5789,UGABUGA,PLN,260.34
49,-5929,IBAN-HAHA,USD,266.34
